Key - Company,Name,Description,Website,Email,Phone,Address - Street,Address - City,Address - State,Address - Zip
AEG,Aegisoft LLC,"A global provider of trading software and services. Their flagship product, Athena Spreader, is a high-frequency spread trading platform.",,-,,2100 Georgetowne Drive,Sewickley,PA,15143
AMATO,Amato Services,"A provider of inground swimming pool installation, repair, and maintenance.",,,,2367 Dale Brook Cir.,Hinckley,OH,44233
BB,Best Buy,A multinational retailer of consumer electronics.,,,,3840 Morse Rd,Columbus,OH,43219
CS,Computer Site,"A retailer of computer equipment, offering sales, service, and repair.",,,(216) 901-7274,9800 Rockside Rd.,Cleveland,OH,44125
DKS,Digital Kent Stater,The first online version of the independent student newspaper of Kent State University.,,,,Kent State University
101 Taylor Hall,Kent,OH,44242
GAS,Shell Gasoline,"A 24-hour full-service gas station, mechanic, and retail store.",,,(440) 842-2488,7900 York Road,North Royalton,OH,44133
HM,Highmark Health,"A national healthcare organization dedicated to providing a remarkable health experience, empowering individuals to live their best lives. Its primary subsidiaries are Highmark Insurance, a large not-for-profit health insurer, and Allegheny Health Network, a 14-hospital academic medical system.",https://www.highmarkhealth.org/,,(412) 544-7000,120 Fifth Avenue,Pittsburgh,PA,15222
INN,"Innovu, LLC","A provider of analytic reporting and consultation to empower advisors and employers to continuously eliminate waste from their healthcare costs, delivering material savings and improving the health and financial security of employees and their families. They focus on providing data-driven solutions for transparency, accountability, and quantifiable savings to manage business and human capital risk.",https://www.innovu.com/,,(412) 212-7520,2403 Sidney St Suite 225,Pittsburgh,PA,15203
KDI,Kent Displays Inc,"A global leader in liquid crystal display technology, specializing in research, development, roll-to-roll manufacturing, and consumer packaged goods design and assembly.",https://www.kentdisplays.com/,,,343 Portage Blvd.,Kent,OH,44240
KSU,Kent State University - Department of Physics,A public research university in northern Ohio. Renowned as the highest-ranked public university in the region in the 2022 U.S. News & World Report Best Colleges rankings.,https://www.kent.edu/,physics-web@kent.edu,(330) 672-2246,800 E. Summit St.,Kent,OH,44242
MJ,Mountain Jack's,"A premier steakhouse celebrated for its award-winning prime rib, steaks, and seafood.",,,(216) 328-1155,6001 Quarry Ln,Independence,OH,44131
MU,Miami University,A university in southwestern Ohio consistently ranked among the top 50 national public universities by U.S. News & World Report.,https://miamioh.edu,,,,Oxford,OH,
PITT,University of Pittsburgh - Department of Physics and Astronomy ,"A top-ranked, public research university in southeast Pennsylvania. A member of the Association of American Universities of leading research universities.",https://www.pitt.edu,,(412) 624-9000,3941 O'Hara St.,Pittsburgh,PA,15260
TMG,TransMarket Group,A global proprietary trading firm.,https://www.transmarketgroup.com,,(312) 479-2422,550 West Jackson Blvd.,Chicago,IL,60661
TR,Thomson Reuters,"A multinational information conglomerate providing trusted data and information to professionals across legal, news/media, tax/accounting, government, intellectual property/science, financial/risk, healthcare, and research.",https://www.thomsonreuters.com,,,,,,
UPMC,UPMC Health Plan - Department of Health Economics,"A rapidly growing health insurer and part of the University of Pittsburgh Medical Center (UPMC) integrated health care delivery system. Committed to providing its members better health, more financial security, and peace of mind.",,,(412) 647-8762,600 Grant St.,Pittsburgh,PA,15219
