Key - Education,Key - School,Date - Start,Date - End,Concentration,Degree,Date - Degree,GPA
KAT1,KAT,2010-02,2010-04,MBA Essentials,Certificate,2010-04-27,
PIT1,PIT,2004-05,2007-08,Physics,Masters of Science (PhD ABD),2008-12-13,3.79
KSU4,KSU,2003-05,2004-08,Physics,,,
KSU3,KSU,2001-08,2003-05,Physics & Mathematics,Bachelors of Science,2003-05-10,3.35
MIA1,MIA,2000-01,2001-05,Physics,,,
KSU2,KSU,1999-08,1999-12,,,,
CCC1,CCC,1999-05,1999-08,,Associates of Science,,
OSU1,OSU,1997-08,1998-05,Computer Science,,,
KSU1,KSU,1996-08,1997-08,Architecture,,,
HOR1,HOR,,,,,,
ELD1,ELD,,,,,,
COU1,COU,,,,,,
