Key - School,Name,Type,Address - City,Address - State
KSU,Kent State University,University,Kent,Ohio
OSU,Ohio State University,University,Columbus,Ohio
CCC,Cuyahoga Community College,College,Parma,Ohio
MIA,Miami University,University,Oxford,Ohio
PIT,University of Pittsburgh,University,Pittsburgh,Pennsylvania
KAT,Katz Graduate School of Business,University,Pittsburgh,Pennsylvania
BHS,Brunswick High School,High,Brunswick,Ohio
WIL,Willets,Middle,Brunswick,Ohio
EDW,Edwards,Middle,Brunswick,Ohio
CRE,Crestview,Elementary,Brunswick,Ohio
HOR,Hortonworks,Software Company,,
ELD,Elder Research,Consulting Company,Charlottesville,Virginia
COU,Coursera,Online Course Provider,,
