Key - Skill,Category,Name,Description
D01,Analytics,Time Series Analysis,
D02,Analytics,Clustering Algorithms,
D03,Analytics,Natural Language Processing (NLP),
D04,Analytics,Text Mining,
D05,Analytics,Statistical Model Validation,
D06,Analytics,Machine Learning,
D07,Analytics,Predictive Analytics,
D08,Analytics,Statistics,Regression / Bayesian / Gibbs sampling
D09,Analytics,Pattern Recognition,
D10,Analytics,Data Science,NN / Decision Trees / KNN / K-Means
D11,Analytics,Data Analysis,
D12,Analytics,Exploratory Data Analysis,
D13,Analytics,Network Analysis,
E1,Development,Requirements Analysis,
E2,Development,Agile Software Methodologies,
E3,Development,Data Modeling,
E4,Development,Database Design,
E5,Development,Version Control,
B1,Finance,Fixed-Income Investing,
B2,Finance,Equity Trading,
A1,General,Technical Communication,
A2,General,Teaching / Mentoring,
A3,General,Computer Science,
A4,General,Econometrics,
C1,Healthcare,Electronic Medical Records,
C2,Healthcare,Medical Claims Data,
F01,Programming,Python,
F02,Programming,R,
F03,Programming,SQL,Oracle / MS / MySQL / PostGres
F04,Programming,PowerShell,
F05,Programming,Regular Expressions,
F10,Programming,MarkDown,
F11,Programming,HTML,
F12,Programming,JavaScript,d3 / underscore / jQuery / leaflet.js / GoogleScript
F21,Programming,Lisp,
F22,Programming,C++,.net / gcc
F23,Programming,C#,
F24,Programming,VBA,
X01,Software,Microsoft Word,
X02,Software,Microsoft Excel,
X03,Software,Microsoft PowerPoint,
X04,Software,Microsoft Access,
X05,Software,Google Docs,
X06,Software,Google Sheets,
X20,Software,Microsoft Power BI,
X21,Software,Tableau,
X22,Software,Looker,
X30,Software,Linux,
X31,Software,Git,
X32,Software,Emacs,
X33,Software,Docker,
X34,Software,Google Scripts,
X36,Software,AWS EC2,
X35,Software,Microsoft Power Automate,
X37,Software,AWS RedShift,
X38,Software,AWS S3,
X40,Software,Statistica,
X41,Software,SAS ,Base / Enterprise Miner / JMP
X44,Software,MatLab,
X45,Software,Maple,
X90,Software,Adobe Photoshop,
X91,Software,Adobe Illustrator,
X92,Software,Gimp,
X93,Software,Inkscape,
